Artist ID, Artist Name, Popularity, Genres, Images
13kJgvU22LHMsJtGWLmx7W, Girl's Day, 48, k-pop || k-pop girl group, https://i.scdn.co/image/ab67616d0000b2739e03d61c4f569348f1bedacd (size: 640) || https://i.scdn.co/image/ab67616d00001e02834f36d87a5782ead34f3183 (size: 300) || https://i.scdn.co/image/ab67616d00004851834f36d87a5782ead34f3183 (size: 64)
1xs6WFotNQSXweo0GXrS0O, EXID, 52, k-pop || k-pop girl group, https://i.scdn.co/image/ab6761610000e5eb271110d977700b69d9548993 (size: 640) || https://i.scdn.co/image/ab67616100005174271110d977700b69d9548993 (size: 320) || https://i.scdn.co/image/ab6761610000f178271110d977700b69d9548993 (size: 160)
6OwKE9Ez6ALxpTaKcT5ayv, AKMU, 62, k-pop, https://i.scdn.co/image/ab6761610000e5eb00beb181c5f5464f4562f90f (size: 640) || https://i.scdn.co/image/ab6761610000517400beb181c5f5464f4562f90f (size: 320) || https://i.scdn.co/image/ab6761610000f17800beb181c5f5464f4562f90f (size: 160)
5vGoWnZO65NBgiZYBmi3iW, KANGDANIEL, 54, k-pop, https://i.scdn.co/image/ab6761610000e5ebe98c6f1166a8dca51e752a89 (size: 640) || https://i.scdn.co/image/ab67616100005174e98c6f1166a8dca51e752a89 (size: 320) || https://i.scdn.co/image/ab6761610000f178e98c6f1166a8dca51e752a89 (size: 160)
7F1iAHRYxR3MY7yAEuFqgL, JIHYO, 57, , https://i.scdn.co/image/ab6761610000e5eb35d2a39ff33092ad964e4506 (size: 640) || https://i.scdn.co/image/ab6761610000517435d2a39ff33092ad964e4506 (size: 320) || https://i.scdn.co/image/ab6761610000f17835d2a39ff33092ad964e4506 (size: 160)
0VMFTqmv0hYlWruyBERT95, Jessica Baio, 59, singer-songwriter pop, https://i.scdn.co/image/ab6761610000e5eb1450a1da5e3125aa4c4562c1 (size: 640) || https://i.scdn.co/image/ab676161000051741450a1da5e3125aa4c4562c1 (size: 320) || https://i.scdn.co/image/ab6761610000f1781450a1da5e3125aa4c4562c1 (size: 160)
250b0Wlc5Vk0CoUsaCY84M, JENNIE, 80, k-pop, https://i.scdn.co/image/ab6761610000e5ebcab652097be01bf194cdf11d (size: 640) || https://i.scdn.co/image/ab67616100005174cab652097be01bf194cdf11d (size: 320) || https://i.scdn.co/image/ab6761610000f178cab652097be01bf194cdf11d (size: 160)
5L1lO4eRHmJ7a0Q6csE5cT, LISA, 82, k-pop, https://i.scdn.co/image/ab6761610000e5eb426faee7010fa829bb527cfb (size: 640) || https://i.scdn.co/image/ab67616100005174426faee7010fa829bb527cfb (size: 320) || https://i.scdn.co/image/ab6761610000f178426faee7010fa829bb527cfb (size: 160)
3eVa5w3URK5duf6eyVDbu9, ROSÉ, 64, k-pop, https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf (size: 640) || https://i.scdn.co/image/ab67616100005174727a1f1f508238a20ac9fdbf (size: 320) || https://i.scdn.co/image/ab6761610000f178727a1f1f508238a20ac9fdbf (size: 160)
1iyFL3CRuKW7PXgPH4VxSP, TEMPEST, 46, k-pop boy group, https://i.scdn.co/image/ab6761610000e5eb9911c736617c213eb64cb5ce (size: 640) || https://i.scdn.co/image/ab676161000051749911c736617c213eb64cb5ce (size: 320) || https://i.scdn.co/image/ab6761610000f1789911c736617c213eb64cb5ce (size: 160)
6UZ0ba50XreR4TM8u322gs, JISOO, 65, k-pop, https://i.scdn.co/image/ab6761610000e5ebcb6017286dd64ca6b77c879f (size: 640) || https://i.scdn.co/image/ab67616100005174cb6017286dd64ca6b77c879f (size: 320) || https://i.scdn.co/image/ab6761610000f178cb6017286dd64ca6b77c879f (size: 160)
4yiB30K5scGkjmAgHGIH8Y, T.O.P., 30, , https://i.scdn.co/image/ab6761610000e5ebe47c7771916f0a6b5b88e7aa (size: 640) || https://i.scdn.co/image/ab67616100005174e47c7771916f0a6b5b88e7aa (size: 320) || https://i.scdn.co/image/ab6761610000f178e47c7771916f0a6b5b88e7aa (size: 160)
1SIocsqdEefUTE6XKGUiVS, BABYMONSTER, 74, 5th gen k-pop, https://i.scdn.co/image/ab6761610000e5ebc88257a512bc6cec18b7bc12 (size: 640) || https://i.scdn.co/image/ab67616100005174c88257a512bc6cec18b7bc12 (size: 320) || https://i.scdn.co/image/ab6761610000f178c88257a512bc6cec18b7bc12 (size: 160)
6S3tOdgtc5qz16hwmMjEBN, LUCAS, 40, 5th gen k-pop, https://i.scdn.co/image/ab6761610000e5eb9283a3963d2ad5f226cd4cb4 (size: 640) || https://i.scdn.co/image/ab676161000051749283a3963d2ad5f226cd4cb4 (size: 320) || https://i.scdn.co/image/ab6761610000f1789283a3963d2ad5f226cd4cb4 (size: 160)
5DuzBeOgFwViFcv00Q5PFb, WINNER, 53, k-pop || k-pop boy group, https://i.scdn.co/image/ab6761610000e5eb9c4acb1897759452c0ed82d9 (size: 640) || https://i.scdn.co/image/ab676161000051749c4acb1897759452c0ed82d9 (size: 320) || https://i.scdn.co/image/ab6761610000f1789c4acb1897759452c0ed82d9 (size: 160)
